nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
2,100,0.1,0.0,138.47390234530704,0.9999999999999858,nan
0,100,0.1,0.1,-18.676847544517436,-72.73687947822054,nan
1,100,0.1,0.1,27.303998985256722,0.9981396266847227,nan
2,100,0.1,0.1,60.969230040905046,0.9999992000239301,nan
0,100,0.1,0.2,-18.778321729019215,-74.480048908658,nan
1,100,0.1,0.2,8.050611161516859,0.8433469395642343,nan
2,100,0.1,0.2,57.469745733095785,0.999998209289308,nan
0,50,0.1,0.1,-18.688450023850468,-72.93413605851248,nan
1,50,0.1,0.1,-9.828417486292192,-8.612619429653249,nan
2,50,0.1,0.1,33.22506873530075,0.9995241247406952,nan
0,100,0.1,0.1,-18.555196588330062,-70.70008307028453,nan
1,100,0.1,0.1,36.154387983778705,0.999757584044224,nan
2,100,0.1,0.1,106.42559187170932,0.9999999999772259,nan
0,200,0.1,0.1,-18.804278203328263,-74.93252124621786,nan
1,200,0.1,0.1,36.487026547001776,0.9997754581247569,nan
2,200,0.1,0.1,192.21577728789114,1.0,nan
0,100,0.0,0.1,-18.80798046683055,-74.99727962400598,nan
1,100,0.0,0.1,97.75433398961863,0.999999999832287,nan
2,100,0.0,0.1,178.27595507452764,1.0,nan
0,100,0.1,0.1,-18.7595149234137,-74.15389476817388,nan
1,100,0.1,0.1,-4.988866803678833,-2.1541815014189574,nan
2,100,0.1,0.1,112.69358016624508,0.9999999999946217,nan
0,100,0.2,0.1,-18.76416041935095,-74.23432726697051,nan
1,100,0.2,0.1,4.623853203410694,0.6551623477303892,nan
2,100,0.2,0.1,7.498946385439645,0.8221289120428541,nan
0,100,0.3,0.1,-18.788715505278105,-74.66090828037758,nan
1,100,0.3,0.1,-17.501834066883152,-55.25788574303893,nan
2,100,0.3,0.1,5.3400227540868155,0.7075862942692738,nan
0,100,0.1,0.0,-18.78557149902577,-74.6061545832363,nan
1,100,0.1,0.0,5.82237521529462,0.738324852000333,nan
2,100,0.1,0.0,63.62660692091774,0.9999995661502936,nan
0,100,0.1,0.1,-18.796823930762198,-74.80230171804219,nan
1,100,0.1,0.1,7.739956270882255,0.8317308995996647,nan
2,100,0.1,0.1,93.93013771511289,0.999999999595437,nan
0,100,0.1,0.2,-18.46915750959266,-69.29359437012711,nan
1,100,0.1,0.2,3.755943581413756,0.5788802188912796,nan
2,100,0.1,0.2,75.55739335111772,0.9999999721861784,nan
0,50,0.1,0.1,-18.67377470576902,-72.6847256033239,nan
1,50,0.1,0.1,-7.4563493051753715,-4.567175734169245,nan
2,50,0.1,0.1,11.187706321511497,0.9239272059050292,nan
0,100,0.1,0.1,-18.65730008675894,-72.40573789553135,nan
1,100,0.1,0.1,-15.235261139563253,-32.38305776637981,nan
2,100,0.1,0.1,75.21747047113558,0.9999999699217231,nan
0,200,0.1,0.1,-18.779917322326135,-74.50778529318598,nan
1,200,0.1,0.1,51.72223713110543,0.9999932736991716,nan
2,200,0.1,0.1,120.49704010485313,0.9999999999991082,nan
0,100,0.0,0.1,-18.792086484113863,-74.71965881526435,nan
1,100,0.0,0.1,194.82648903519305,1.0,nan
2,100,0.0,0.1,116.16873960083603,0.9999999999975838,nan
0,100,0.1,0.1,-18.793972842499432,-74.75255479802996,nan
1,100,0.1,0.1,-3.4326044001167038,-1.204247921835071,nan
2,100,0.1,0.1,81.24886484925979,0.9999999924990975,nan
0,100,0.2,0.1,-18.727170343732524,-73.59625663117065,nan
1,100,0.2,0.1,12.53102389088846,0.9441661454447731,nan
2,100,0.2,0.1,-2.7734558315536546,-0.8938500212477936,nan
0,100,0.3,0.1,-18.208384384205466,-65.1970198830759,nan
1,100,0.3,0.1,-15.199862033721484,-32.112060230613686,nan
2,100,0.3,0.1,-5.186963674062963,-2.301386472371513,nan
0,100,0.1,0.0,-18.77868412280391,-74.48634754771764,nan
1,100,0.1,0.0,-5.529950541072877,-2.5726876943096095,nan
2,100,0.1,0.0,141.68494611267934,0.9999999999999932,nan
0,100,0.1,0.1,-18.641716591327913,-72.1428130462815,nan
1,100,0.1,0.1,-2.7045254462810666,-0.8640284846719095,nan
2,100,0.1,0.1,79.13389509346115,0.9999999877929565,nan
0,100,0.1,0.2,-18.770590970592473,-74.3458084326319,nan
1,100,0.1,0.2,-7.752542589825449,-4.960109777870117,nan
2,100,0.1,0.2,60.64589512082233,0.9999991381920661,nan
0,50,0.1,0.1,-18.684305913553704,-72.863620523094,nan
1,50,0.1,0.1,-17.299177099918648,-52.693004936166716,nan
2,50,0.1,0.1,7.564490010918571,0.8247931833687903,nan
0,100,0.1,0.1,-18.761203910363157,-74.1831280737972,nan
1,100,0.1,0.1,39.83942018380652,0.9998962333056993,nan
2,100,0.1,0.1,50.78760976742663,0.9999916585985482,nan
0,200,0.1,0.1,-18.80574657703268,-74.95819879295392,nan
1,200,0.1,0.1,25.063411372818507,0.9968835593343153,nan
