# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, PARACALANUS PARVUS
-1.1959647188,1.0034959318,0.4498869836,0.0531635216
-0.9286630429,-0.4863913731,-0.2765396817,0.1608538570
-0.4597874687,0.0269311579,-0.0431144819,1.0245055510
0.2658443110,3.5008228683,-0.0597462826,0.4359700509
-0.6046815385,3.6421771029,0.0839859864,0.7280685559
-1.5295099528,0.2919564523,-1.1032185591,2.5168705951
-1.5458527875,-0.1304616124,-1.1032185591,0.8092326434
-1.6414410389,-1.5347666352,-1.1032185591,0.3958042575
-1.6414410389,0.8957512664,-1.1032185591,0.3523042221
-1.6414410389,0.9315913461,-1.1032185591,0.2650849984
-1.5358729600,0.2498429204,-1.1032185591,0.9921457346
-1.5243097668,-0.2065776361,-1.1032185591,0.6253708242
-1.4301593141,-1.5347666352,-0.0129342963,-0.2077045605
-0.2784193493,-1.3435826797,0.2998113791,-0.5063276761
