nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
2,200,0.1,0.1,1.4251566572427707,0.27974822990951165,nan
0,400,0.1,0.1,-18.808125227011747,-74.99981282757632,nan
1,400,0.1,0.1,-17.64460994572304,-57.13812141886261,nan
2,400,0.1,0.1,47.29900354588612,0.9999813748557325,nan
0,200,0.0,0.1,-18.808091204600423,-74.99921745119643,nan
1,200,0.0,0.1,-18.70424176319718,-73.20346342490016,nan
2,200,0.0,0.1,6.144210347732937,0.757015279323012,nan
0,200,0.1,0.1,-17.908357539371433,-60.778271637612114,nan
1,200,0.1,0.1,21.165127180607527,0.9923530670548645,nan
2,200,0.1,0.1,34.94995425912081,0.9996801071198643,nan
0,200,0.2,0.1,5.946576765109896,0.7457023636603721,nan
1,200,0.2,0.1,-7.087252337397327,-4.113582107995233,nan
2,200,0.2,0.1,-8.496502736771106,-6.0737592309146855,nan
0,200,0.3,0.1,-18.271281346686006,-66.16269811777924,nan
1,200,0.3,0.1,-14.492602525174574,-27.13586376986383,nan
2,200,0.3,0.1,11.497608217055223,0.9291664222403827,nan
0,200,0.1,0.0,-18.808135919610617,-74.99999994404845,nan
1,200,0.1,0.0,-5.993641185375377,-2.975247000315967,nan
2,200,0.1,0.0,-16.689574806201257,-45.66136945019926,nan
0,200,0.1,0.1,15.866459131532665,0.9740967601531184,nan
1,200,0.1,0.1,-18.807871405144013,-74.99537117530039,nan
2,200,0.1,0.1,52.601046565887984,0.9999945059153893,nan
0,200,0.1,0.2,-10.07003950130559,-9.162579362146493,nan
1,200,0.1,0.2,-15.02863303493067,-30.83195436269469,nan
2,200,0.1,0.2,-14.844610311448118,-29.511322414924557,nan
0,100,0.1,0.1,-14.436924923833773,-26.777457538050353,nan
1,100,0.1,0.1,-18.114141247663643,-63.77599977600934,nan
2,100,0.1,0.1,-18.14379334144549,-64.21978069658788,nan
0,200,0.1,0.1,-17.89077249892611,-60.52863066909349,nan
1,200,0.1,0.1,-18.807951298992222,-74.99676921712448,nan
2,200,0.1,0.1,-18.450037998013347,-68.98481192027624,nan
0,400,0.1,0.1,-18.8081326058454,-74.99994195435005,nan
1,400,0.1,0.1,72.33986200114474,0.9999999416536356,nan
2,400,0.1,0.1,19.98080901865197,0.9899557133556588,nan
0,200,0.0,0.1,-18.806816288307743,-74.97691037061624,nan
1,200,0.0,0.1,-18.795741492759063,-74.78341106409246,nan
2,200,0.0,0.1,-3.5936665927748317,-1.2875292673860677,nan
0,200,0.1,0.1,-18.764250054199447,-74.23588005831353,nan
1,200,0.1,0.1,-17.282682894538528,-52.48946935228435,nan
